Mass/Energy/Transportation Flows,,,Materials Requiring Additional Treatment,,,,,,Recovered Fiber,,,,,Recovered Plastic,,,,,,,,,,Recovered Metals,,,Glass,,,,,,Electricity,,Production,Equipment,,,,,,,,Boiler,,,,,,,,,,,,Internal Process Transportation (kg km),,,,,Collection (L/Mg),,,,,Empty Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste Fraction,Bottom Ash,Fly Ash,Separated Organics,Other Residual,RDF,Wastewater,OCC,Mixed Paper,ONP,OFF,Other,PET (#1),HDPE-Unsorted (#2),HDPE-P (#2A),HDPE-T (#2B),PVC (#3),LDPE/Film ( #4),Polypropylene (#5),Polystyrene (#6),Other (#7),Mixed Plastic,Al,Fe,Cu,Brown,Clear,Green,Mixed Glass,Capital Costs,Amortized Operating Cost,Production,Consumption,Heat/ Steam,Diesel,Gasoline,LPG,CNG,Residual Fuel Oil,Distillate,Kerosene,Petroleum/Crude Oil,Diesel,Gasoline,LPG,CNG,Residual Fuel Oil,Distillate,Kerosene,Petroleum/Crude Oil,Coke,Bitumen,Coal,Wood,Heavy Duty Diesel Truck,Medium Duty Diesel Truck,Barge,Cargo Ship,Rail,Diesel,CNG,Biodiesel,Gasoline Passenger Vehicle,Other,Heavy Duty Diesel Truck,Medium Duty Diesel Truck,LF_Emission_Material_used,Other 2,Other 3,Other 4,Other 5,Other 6,Other 7,Other 8,Other 9,Other 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ferrous Cans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ferrous Metal - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aluminum Cans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aluminum - Foil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aluminum - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ferrous - Non-recyclable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Al - Non-recyclable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Glass - Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Glass - Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Glass - Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mixed Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Glass - Non-recyclable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Misc. Organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.31,126.82,4.89,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Misc. Inorganic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,E-waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aerobic Residual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anaerobic Residual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bottom Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fly Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Diapers and sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.19,322.30,14.86,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste Fraction 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,0.00,0.63,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,141,2114,,,,,,,,,4,88,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
